cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
17097,9.8,6.3,9.4
17099,7.4,8.1,11.7
17101,12.5,7.7,12.1
17103,9.6,12.0,14.1
17105,9.1,9.3,13.7
17107,10.2,11.8,14.2
17109,7.199999999999999,9.3,25.3
17111,9.2,6.3,10.4
17113,5.2,10.8,13.7
17115,7.1,10.2,11.6
17117,10.0,8.7,12.9
17119,6.8,8.4,12.5
17121,6.8,7.9,15.0
17123,10.5,8.0,9.4
17125,9.3,6.5,16.0
17127,7.5,7.7,11.3
17129,9.1,11.8,23.3
17131,9.7,8.7,12.4
17133,8.5,10.2,10.7
17135,10.7,8.5,14.7
17137,10.3,11.2,16.4
17139,11.2,9.9,9.5
17141,9.3,7.7,13.9
17143,6.199999999999999,11.3,9.0
17145,8.1,11.0,15.6
17147,11.0,8.2,17.3
17149,14.0,11.1,13.6
17151,12.1,8.9,16.8
17153,7.5,6.5,25.5
17155,8.9,4.8,11.1
17157,7.4,6.0,14.7
17159,9.8,7.4,13.1
17161,6.199999999999999,9.3,11.6
17163,5.5,9.7,15.2
17165,9.0,7.4,17.3
17167,7.800000000000001,11.5,22.6
17169,10.899999999999999,6.6,18.6
17171,10.1,9.2,10.7
17173,10.2,7.0,10.8
17175,18.3,7.2,10.1
17177,9.5,9.2,10.6
17179,7.1000000000000005,10.4,10.9
17181,9.2,8.5,22.5
17183,10.2,7.4,14.4
17185,11.8,6.6,11.1
17187,10.2,14.9,11.0
17189,10.899999999999999,8.3,14.7
17191,11.3,6.7,10.6
17193,11.8,7.1,12.5
17195,7.3,8.1,13.1
17197,6.800000000000001,6.4,11.1
17199,8.4,7.5,20.4
17201,8.2,8.1,9.8
17203,8.6,10.4,8.6
18001,12.6,7.8,7.8
18003,7.2,10.3,8.2
18005,7.800000000000001,7.7,7.6
18007,13.7,7.8,15.8
18009,8.0,9.1,11.1
18011,9.9,10.6,9.3
18013,13.600000000000001,5.9,9.3
18015,9.0,8.2,11.7
18017,6.199999999999999,7.2,13.1
18019,6.9,7.3,9.8
18021,6.800000000000001,6.9,14.0
18023,8.6,6.8,8.6
18025,9.0,4.6,13.2
18027,9.5,9.8,12.8
18029,8.0,7.5,10.1
18031,9.6,6.2,9.3
18033,6.3999999999999995,8.6,7.5
18035,6.0,11.1,14.4
18037,8.4,7.4,9.4
18039,8.2,8.4,7.9
18041,7.1,7.5,9.7
18043,7.0,8.5,10.3
18045,7.7,7.1,12.9
18047,10.0,7.1,10.4
18049,10.7,6.6,10.1
18051,5.3,9.6,7.1
18053,6.5,13.0,12.6
18055,7.9,6.1,19.1
18057,9.9,9.4,9.1
18059,6.7,7.8,12.0
18061,6.300000000000001,7.7,11.1
18063,7.5,9.3,11.4
18065,9.3,8.1,12.1
18067,6.4,7.7,9.6
18069,8.3,11.6,9.8
18071,9.0,6.6,9.7
18073,9.5,8.2,8.4
18075,11.700000000000001,5.7,9.5
18077,7.6,9.5,11.7
18079,7.699999999999999,6.6,12.3
18081,8.3,9.1,11.5
18083,7.9,13.2,11.6
18085,8.399999999999999,7.3,6.8
18087,11.0,5.3,5.5
18089,6.0,7.9,10.3
18091,7.5,8.3,9.9
18093,8.0,5.5,15.7
18095,7.1,9.2,10.3
18097,6.6,9.3,9.8
18099,7.2,9.3,7.4
18101,9.0,9.5,20.6
18103,7.199999999999999,6.1,13.5
18105,8.2,11.1,21.6
18107,7.6000000000000005,7.5,10.3
18109,7.2,7.3,11.0
18111,7.4,5.6,9.1
18113,8.1,6.4,7.7
18115,8.2,6.2,13.7
18117,9.2,4.0,10.4
18119,11.1,6.4,10.1
18121,11.600000000000001,6.5,12.3
18123,6.0,5.6,10.9
18125,4.2,7.7,9.6
18127,7.4,7.7,9.9
18129,7.5,9.0,12.4
18131,9.3,8.1,8.6
18133,7.7,9.4,12.1
18135,9.3,7.1,11.0
18137,9.4,7.3,9.3
18139,8.0,4.2,9.2
18141,6.8999999999999995,14.4,8.9
18143,7.4,6.1,10.6
18145,9.0,6.6,10.5
18147,11.100000000000001,8.0,8.5
18149,8.3,8.1,9.9
18151,10.1,8.3,8.6
18153,7.0,7.7,13.4
18155,8.7,4.8,11.9
18157,5.7,10.3,16.1
18159,6.1,7.1,13.2
18161,7.6,6.5,14.7
18163,6.2,9.4,9.0
18165,10.1,7.1,12.3
18167,6.4,11.3,13.8
18169,7.6,11.2,8.6
18171,11.100000000000001,7.7,11.6
18173,8.4,9.2,10.0
18175,9.9,5.6,11.0
18177,7.5,11.7,9.2
18179,7.800000000000001,6.5,8.8
18181,8.8,7.5,12.3
18183,8.8,8.9,8.6
19001,14.2,7.9,14.0
19003,20.1,8.1,14.1
19005,14.7,10.6,11.3
19007,15.0,7.5,11.9
19009,16.0,7.8,15.4
19011,11.9,6.7,11.0
19013,6.800000000000001,8.5,12.8
19015,9.0,7.4,19.1
19017,10.1,13.7,13.2
19019,14.5,6.5,13.5
19021,12.200000000000001,10.0,10.5
19023,16.0,7.1,10.4
19025,18.0,9.1,16.0
19027,17.4,11.1,12.2
19029,14.8,6.4,13.0
19031,14.5,7.2,16.8
19033,10.8,11.7,11.1
19035,14.0,6.6,16.7
19037,13.3,7.7,14.1
19039,11.100000000000001,8.1,11.3
19041,13.7,8.4,12.0
19043,17.2,7.8,11.5
19045,10.2,7.9,9.1
19047,12.8,7.2,10.3
19049,7.7,7.1,12.2
19051,18.9,9.7,14.8
19053,11.6,12.7,15.4
19055,15.2,7.8,11.2
19057,8.3,8.2,11.1
19059,16.5,7.3,11.5
19061,7.699999999999999,10.6,10.1
19063,14.6,7.7,10.9
19065,14.0,11.0,11.0
19067,12.600000000000001,8.6,11.1
19069,15.3,5.5,17.4
19071,13.700000000000001,8.6,17.9
19073,14.7,9.0,13.5
19075,13.9,7.9,14.8
19077,14.3,7.5,14.5
19079,12.8,5.0,16.4
19081,14.5,5.4,12.3
19083,13.7,7.4,14.1
19085,13.5,7.9,10.4
19087,10.4,7.5,14.5
19089,15.8,9.5,12.9
19091,14.7,6.7,13.0
19093,13.3,6.8,13.3
19095,11.4,6.7,14.4
19097,13.2,7.8,10.6
19099,9.8,7.2,11.4
19101,17.1,11.9,11.1
19103,7.199999999999999,10.2,26.5
19105,16.8,7.6,12.1
19107,16.4,6.3,15.1
19109,18.2,6.3,10.7
19111,9.2,6.3,14.6
19113,7.7,8.8,9.7
19115,9.6,4.4,10.3
19117,11.8,6.2,15.4
19119,19.3,8.3,13.3
19121,11.7,7.0,13.7
19123,11.4,8.2,11.2
