cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
13291,58.30852920045161,2.71,82.1,77.2
13293,43.13571006499902,3.33,75.0,67.6
13295,51.31087584215592,3.10,79.6,71.8
13297,56.943479633722774,3.25,86.0,74.3
13299,44.10764667583014,2.98,66.0,63.6
13301,36.051693404634584,2.93,52.1,66.6
13303,40.490470478475274,2.92,58.5,66.6
13305,50.29807692307692,3.23,63.2,63.5
13307,46.14035087719298,2.95,52.2,83.9
13309,41.40708915145005,5.85,63.2,63.3
13311,58.768704574604534,2.91,74.3,75.9
13313,52.51340200398552,3.42,67.8,64.6
13315,47.80582524271845,3.17,65.9,76.1
13317,40.412163860266396,3.26,75.3,67.5
13319,43.98744113029827,3.53,68.8,75.2
13321,50.39990002499375,2.95,59.5,65.4
15001,47.83954616791211,3.41,84.8,67.7
15003,52.50147860419764,3.62,58.8,56.2
15005,23.076923076923077,2.33,87.2,0.0
15007,52.617177155971405,3.66,85.3,63.2
15009,51.421648708676734,3.48,74.0,61.0
16001,50.968832382479675,3.22,79.5,69.3
16003,58.16733067729084,2.78,83.0,80.3
16005,51.092922484352435,3.33,71.9,67.5
16007,63.28382838283828,2.87,85.8,76.6
16009,53.80339379754242,3.09,71.9,73.3
16011,58.12929481619854,3.54,78.7,76.8
16013,50.70669168230144,3.58,68.5,70.1
16015,61.49765990639625,2.67,83.0,82.8
16017,57.42715401722074,2.93,78.3,75.7
16019,57.1037014685174,3.41,77.3,69.6
16021,52.826133677197504,3.22,80.1,76.7
16023,55.63598759048604,3.31,81.2,82.3
16025,54.06091370558376,3.50,84.0,75.6
16027,53.471506860604066,3.54,81.4,69.5
16029,62.49014972419228,3.26,84.3,79.3
16031,62.637790169887175,3.40,80.5,70.3
16033,60.3448275862069,4.13,67.9,62.4
16035,51.533052039381154,2.76,73.2,78.1
16037,56.0315670800451,2.93,76.0,78.6
16039,53.5734489911371,2.97,76.1,59.8
16041,67.43234023197635,3.50,88.4,81.3
16043,69.47319990798252,3.18,80.1,81.2
16045,51.054915457130036,3.13,78.9,74.8
16047,53.46498445785336,3.30,73.9,70.5
16049,60.58997970969252,2.98,81.1,76.7
16051,71.65282675463543,3.67,85.2,80.7
16053,54.238344552480676,3.46,81.9,64.9
16055,53.78787878787878,2.98,76.2,70.4
16057,46.23265464920244,2.95,57.3,54.3
16059,49.0787269681742,2.83,78.9,77.6
16061,45.74726609963548,3.07,75.2,69.4
16063,59.5707656612529,3.68,71.3,68.2
16065,76.99709513435003,3.52,50.3,44.6
16067,58.8,3.24,82.4,73.4
16069,49.84130859375,2.88,75.3,72.8
16071,62.72445820433437,3.31,91.2,79.9
16073,56.491552881277485,3.11,73.6,70.9
16075,55.39657503379901,3.15,76.9,72.7
16077,56.47550322825674,3.67,63.9,74.4
16079,49.432857665568974,2.78,78.2,70.0
16081,58.025357431885624,3.72,80.4,77.7
16083,54.50138059461889,3.23,79.8,68.9
16085,60.81674851382787,3.16,81.6,80.8
16087,50.78066914498142,3.04,80.2,72.5
17001,51.14709353791679,2.94,81.1,71.8
17003,42.757660167130915,3.72,73.6,73.7
