cfips,birth_rate,pct_new_young_mothers
21205,22,0.0
21207,44,9.8
21209,46,3.1
21211,44,4.7
21213,70,6.7
21215,90,0.0
21217,43,6.6
21219,55,13.6
21221,51,0.0
21223,17,9.4
21225,77,10.5
21227,47,3.3
21229,37,0.0
21231,75,10.7
21233,57,3.7
21235,47,5.1
21237,70,0.0
21239,60,0.0
22001,67,9.4
22003,108,10.2
22005,90,5.8
22007,33,0.0
22009,86,10.9
22011,49,0.7
22013,14,0.0
22015,48,3.0
22017,51,9.1
22019,69,7.2
22021,67,0.0
22023,102,0.0
22025,47,0.0
22027,57,0.0
22029,88,3.9
22031,70,22.0
22033,46,3.4
22035,58,1.6
22037,44,2.0
22039,66,5.8
22041,73,4.2
22043,67,0.0
22045,50,0.0
22047,60,3.4
22049,27,0.0
22051,60,4.7
22053,59,1.7
22055,57,2.2
22057,67,0.5
22059,102,0.0
22061,25,3.3
22063,64,0.2
22065,94,21.5
22067,18,10.6
22069,32,20.3
22071,40,3.6
22073,63,1.3
22075,61,2.1
22077,103,22.0
22079,56,7.2
22081,34,0.0
22083,66,0.0
22085,63,6.1
22087,34,4.8
22089,38,0.0
22091,55,11.2
22093,79,0.0
22095,46,0.0
22097,50,5.9
22099,48,3.0
22101,37,0.0
22103,51,5.9
22105,63,3.8
22107,93,30.0
22109,56,0.0
22111,65,0.0
22113,96,3.2
22115,58,0.1
22117,61,10.0
22119,72,2.1
22121,102,0.0
22123,23,0.0
22125,50,4.7
22127,62,0.0
23001,67,2.7
23003,49,1.6
23005,40,0.0
23007,58,3.3
23009,54,0.5
23011,49,0.2
23013,57,0.0
23015,45,0.0
23017,54,8.2
23019,60,1.7
23021,43,0.0
23023,35,0.0
23025,53,5.6
23027,51,0.0
23029,47,1.4
23031,47,0.0
24001,59,7.0
24003,62,1.0
24005,49,3.1
24009,45,2.5
24011,53,1.0
24013,52,4.1
24015,53,2.2
24017,60,1.8
24019,64,0.0
24021,57,1.5
24023,26,0.0
24025,58,0.6
24027,47,1.4
24029,32,4.8
24031,53,2.0
24033,50,4.3
24035,34,0.6
24037,59,2.3
24039,63,0.0
24041,89,12.1
24043,53,0.4
24045,42,0.1
24047,61,0.0
24510,43,3.1
25001,44,0.0
25003,35,1.5
25005,45,2.1
25007,73,0.0
25009,46,0.7
25011,52,0.0
25013,51,3.8
25015,27,2.0
25017,45,0.6
25019,59,0.0
25021,43,2.5
25023,54,2.0
25025,34,1.4
25027,52,1.0
26001,54,9.1
26003,23,6.5
26005,58,3.1
26007,47,9.9
26009,53,5.3
26011,58,0.6
26013,59,0.0
26015,56,0.0
26017,52,2.3
26019,47,1.3
26021,55,4.5
26023,59,7.3
26025,38,0.4
26027,61,4.4
26029,54,0.0
26031,45,2.0
26033,78,0.7
26035,58,0.0
26037,45,0.3
26039,49,2.6
26041,50,10.4
26043,90,0.2
26045,54,0.0
26047,48,0.3
26049,53,4.6
26051,63,0.0
26053,85,8.4
26055,38,0.0
26057,47,0.0
26059,61,6.2
26061,48,1.1
26063,49,5.6
26065,46,4.6
26067,69,1.3
26069,46,2.1
26071,72,8.5
26073,36,4.2
26075,43,0.0
26077,53,1.4
26079,43,6.7
26081,56,2.6
26083,45,7.1
26085,74,4.2
26087,69,1.5
26089,67,0.0
26091,62,5.1
26093,53,2.4
26095,69,0.0
26097,47,0.0
26099,51,0.8
26101,24,14.0
26103,28,1.6
26105,51,2.1
26107,48,6.3
26109,44,3.3
26111,63,4.3
26113,83,0.8
26115,57,1.6
26117,68,3.3
26119,74,0.0
26121,52,5.4
26123,61,0.0
26125,48,2.6
26127,85,12.2
26129,79,0.3
26131,31,0.0
26133,82,2.9
26135,55,0.0
26137,73,1.4
26139,52,0.7
26141,29,0.0
26143,34,1.7
26145,55,7.7
26147,66,3.9
26149,65,1.3
26151,62,2.6
26153,60,11.1
26155,52,0.0
26157,55,2.6
26159,55,4.5
26161,40,3.0
26163,57,4.0
26165,72,3.7
27001,57,0.0
27003,54,0.6
27005,60,1.8
27007,55,9.6
27009,53,2.2
27011,39,0.0
27013,58,0.1
27015,74,9.8
27017,36,0.0
27019,47,1.7
27021,86,0.5
27023,73,0.0
27025,56,0.0
27027,42,1.2
27029,77,7.2
27031,102,0.0
27033,75,0.0
27035,43,2.7
27037,63,1.2
27039,55,0.0
27041,86,0.6
27043,58,0.0
27045,75,0.7
27047,57,0.0
27049,78,4.7
27051,44,0.0
27053,52,1.2
27055,40,0.0
27057,75,3.3
27059,49,4.4
27061,50,1.9
27063,76,0.0
27065,53,0.0
27067,78,1.2
27069,58,0.0
27071,50,0.0
27073,55,0.0
27075,102,0.0
27077,25,0.0
27079,68,0.0
27081,83,0.0
27083,68,12.6
27085,61,7.1
27087,125,9.2
27089,62,2.8
27091,85,1.3
27093,82,0.5
27095,68,1.4
27097,62,1.5
27099,97,4.4
27101,65,5.2
27103,54,3.6
27105,69,0.3
27107,62,2.5
27109,67,0.9
27111,76,2.1
27113,42,0.0
27115,60,0.0
27117,74,1.5
27119,86,1.3
27121,77,0.0
27123,63,2.6
27125,35,3.7
27127,54,0.0
27129,69,13.7
27131,52,1.1
27133,125,2.4
27135,84,5.2
27137,45,3.3
