"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005EA","B05001_005M","B05001_005MA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US46065","Hughes County, South Dakota","17572","*****","*****","null","17327","130","null","null","0","15","null","null","40","null","41","null","47","null","37","null","158","107","null","null",
"0500000US46067","Hutchinson County, South Dakota","7277","*****","*****","null","7191","64","null","null","0","13","null","null","3","null","6","null","4","null","7","null","79","64","null","null",
"0500000US46069","Hyde County, South Dakota","1373","101","null","null","1319","107","null","null","0","9","null","null","41","null","31","null","10","null","11","null","3","5","null","null",
"0500000US46071","Jackson County, South Dakota","3275","*****","*****","null","3247","26","null","null","7","12","null","null","0","null","9","null","14","null","19","null","7","16","null","null",
"0500000US46073","Jerauld County, South Dakota","2034","*****","*****","null","1961","47","null","null","0","9","null","null","8","null","12","null","19","null","21","null","46","39","null","null",
"0500000US46075","Jones County, South Dakota","740","82","null","null","734","81","null","null","0","9","null","null","0","null","9","null","0","null","9","null","6","9","null","null",
"0500000US46077","Kingsbury County, South Dakota","5000","*****","*****","null","4886","35","null","null","0","13","null","null","9","null","7","null","67","null","39","null","38","31","null","null",
"0500000US46079","Lake County, South Dakota","12350","*****","*****","null","12184","77","null","null","0","15","null","null","46","null","41","null","35","null","29","null","85","55","null","null",
"0500000US46081","Lawrence County, South Dakota","25018","*****","*****","null","24219","142","null","null","0","17","null","null","187","null","95","null","252","null","94","null","360","127","null","null",
"0500000US46083","Lincoln County, South Dakota","53147","*****","*****","null","51714","252","null","null","9","16","null","null","146","null","66","null","730","null","205","null","548","180","null","null",
"0500000US46085","Lyman County, South Dakota","3882","*****","*****","null","3843","28","null","null","5","6","null","null","9","null","10","null","25","null","20","null","0","9","null","null",
